pdb_id,title,length,B,B_epsilon,I,eta,log10_eta,eta_epsilon,log10_eta_epsilon,resolution,engineered_hint,source,synthetic_class
7jh5,Co-LOCKR: de novo designed protein switch,564,1.0,1e-12,45213.0,2.2117532568066706e-05,-4.655263324557406,2.2117532568066706e-17,-16.655263324557406,,,synthetic,
4f34,"Symfoil-4V synthetic protein with T30E/T72E/T116E mutations, and delta His tag",492,1.0,1e-12,42490.0,2.353494939985879e-05,-4.628286731089514,2.3534949399858788e-17,-16.628286731089513,,,synthetic,
8yl4,Crystal structure of the de novo designed protein 200 AA in the crystal form 1,405,1.0,1e-12,36752.0,2.7209403569873747e-05,-4.565280977850951,2.720940356987375e-17,-16.56528097785095,,,synthetic,
9qup,Tb(III)-bound de novo protein scaffold TFD-EE MPNN,337,1.0,1e-12,34416.0,2.905625290562529e-05,-4.536760393043387,2.905625290562529e-17,-16.536760393043387,,,synthetic,
8fbo,Improving the secretion of designed protein assemblies through negative design of cryptic transmembrane domains,762,1.0,1e-12,29450.0,3.395585738539898e-05,-4.469085299123121,3.395585738539898e-17,-16.46908529912312,,,synthetic,
9lx4,Crystal structure of the de novo designed protein ZZ4,350,1.0,1e-12,27536.0,3.631609529343405e-05,-4.439900852983485,3.631609529343405e-17,-16.439900852983484,,,synthetic,
4jmg,Crystal structure of the synthetic protein in complex with pY peptide,204,1.0,1e-12,25814.0,3.873866893933525e-05,-4.411855305718946,3.873866893933525e-17,-16.411855305718944,,,synthetic,
6iwb,Crystal structure of a computationally designed protein (LD3) in complex with BCL-2,563,1.0,1e-12,24529.0,4.076807044722573e-05,-4.389679843219249,4.076807044722573e-17,-16.38967984321925,,,synthetic,
4r6f,Crystal structure of computational designed protein DLRR_I,329,1.0,1e-12,21939.0,4.558092893933178e-05,-4.34121682814391,4.558092893933178e-17,-16.34121682814391,,,synthetic,
7skn,De novo synthetic protein DIG8-CC (tetragonal space group),289,1.0,1e-12,21034.0,4.754207473614148e-05,-4.32292186958309,4.754207473614149e-17,-16.32292186958309,,,synthetic,
7sko,De novo synthetic protein DIG8-CC (orthogonal space group),283,1.0,1e-12,20659.0,4.84050534875841e-05,-4.3151092956447465,4.8405053487584105e-17,-16.315109295644746,,,synthetic,
9mxw,Computationally Designed protein with isopeptide bond dnIPB-1,310,1.0,1e-12,20625.0,4.848484848484849e-05,-4.314393957221963,4.8484848484848476e-17,-16.314393957221963,,,synthetic,
6iev,Crystal structure of a designed protein,321,1.0,1e-12,19999.0,5.000250012500625e-05,-4.301008280397,5.0002500125006244e-17,-16.301008280397,,,synthetic,
5ts4,Crystal structure of a de novo designed protein with curved beta-sheet,400,1.0,1e-12,19440.0,5.1440329218106995e-05,-4.288696260590256,5.1440329218106986e-17,-16.288696260590257,,,synthetic,
6nz1,Crystal structure of computationally designed protein XXA_GVDQ,569,1.0,1e-12,16906.0,5.915059742103395e-05,-4.228040864639632,5.915059742103395e-17,-16.22804086463963,,,synthetic,
8tn1,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - apo,441,1.0,1e-12,16871.0,5.927330922885425e-05,-4.227140825423186,5.927330922885423e-17,-16.227140825423188,,,synthetic,
8tnc,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - holo niraparib,441,1.0,1e-12,16800.0,5.952380952380952e-05,-4.225309281725863,5.952380952380952e-17,-16.225309281725863,,,synthetic,
8tn6,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - holo rucaparib,441,1.0,1e-12,15947.0,6.270771932024833e-05,-4.2026789942277265,6.270771932024831e-17,-16.20267899422773,,,synthetic,
8tnb,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - holo mefuparib,441,1.0,1e-12,15875.0,6.299212598425197e-05,-4.2007137339640135,6.299212598425197e-17,-16.20071373396401,,,synthetic,
8tnd,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - holo veliparib,441,1.0,1e-12,15870.0,6.30119722747322e-05,-4.200576926754848,6.301197227473219e-17,-16.20057692675485,,,synthetic,
8xyu,De novo designed protein GPX4-3,169,1.0,1e-12,15276.0,6.546216286986122e-05,-4.18400964970128,6.546216286986122e-17,-16.18400964970128,,,synthetic,
8xyr,De novo designed protein GPX4-2,165,1.0,1e-12,15002.0,6.665777896280495e-05,-4.176149161126549,6.665777896280494e-17,-16.17614916112655,,,synthetic,
4jmh,Crystal structure of synthetic protein in complex with double pY peptide,206,1.0,1e-12,14840.0,6.738544474393532e-05,-4.171433900943009,6.738544474393531e-17,-16.171433900943008,,,synthetic,
5u35,Crystal structure of a de novo designed protein with curved beta-sheet,246,1.0,1e-12,13824.0,7.233796296296296e-05,-4.140633725134818,7.233796296296296e-17,-16.14063372513482,,,synthetic,
9quc,Metal-free de novo protein scaffold TFD-EH,171,1.0,1e-12,13550.0,7.380073800738008e-05,-4.131939295210424,7.380073800738008e-17,-16.131939295210426,,,synthetic,
9qud,Cu(II)-bound de novo protein scaffold TFD-EH,170,1.0,1e-12,13013.0,7.684623069238454e-05,-4.114377429786155,7.684623069238453e-17,-16.114377429786156,,,synthetic,
5tph,Crystal structure of a de novo designed protein homodimer with curved beta-sheet,241,1.0,1e-12,12970.0,7.710100231303006e-05,-4.11293997608408,7.710100231303007e-17,-16.11293997608408,,,synthetic,
9qul,Zn(II)-bound de novo protein scaffold TFD-EH T87E,169,1.0,1e-12,12890.0,7.757951900698215e-05,-4.110252917353403,7.757951900698216e-17,-16.110252917353403,,,synthetic,
9quo,Co(II)-bound de novo protein scaffold TFD-EH T87E,170,1.0,1e-12,12852.0,7.78089013383131e-05,-4.1089707168794805,7.78089013383131e-17,-16.10897071687948,,,synthetic,
7vqw,de novo designed protein based on 1r26,232,1.0,1e-12,12756.0,7.839448102853559e-05,-4.105714510570921,7.839448102853558e-17,-16.105714510570923,,,synthetic,
9qui,Ni(II)-bound de novo protein scaffold TFD-EH,170,1.0,1e-12,12700.0,7.874015748031496e-05,-4.103803720955957,7.874015748031496e-17,-16.103803720955955,,,synthetic,
6wi5,De novo designed protein Foldit4,180,1.0,1e-12,12343.0,8.101758081503687e-05,-4.091420728992051,8.101758081503685e-17,-16.091420728992052,,,synthetic,
9mxx,Computationally Designed protein with isopeptide bond dnIPB-2,149,1.0,1e-12,11719.0,8.53315129277242e-05,-4.068890554257935,8.53315129277242e-17,-16.068890554257937,,,synthetic,
8fbj,Improving the secretion of designed protein assemblies through negative design of cryptic transmembrane domains,307,1.0,1e-12,11524.0,8.677542519958348e-05,-4.061603249608376,8.677542519958346e-17,-16.061603249608375,,,synthetic,
7skp,De novo synthetic protein DIG14 (tetragonal space group),146,1.0,1e-12,11434.0,8.745845723281441e-05,-4.058198187878253,8.745845723281442e-17,-16.058198187878254,,,synthetic,
9vvn,Crystal structure of computationally designed protein VTP-4,167,1.0,1e-12,11144.0,8.973438621679828e-05,-4.047041103415907,8.973438621679828e-17,-16.047041103415907,,,synthetic,
6nuk,De novo designed protein Ferredog-Diesel,200,1.0,1e-12,10245.0,9.760858955588093e-05,-4.010511962737214,9.760858955588092e-17,-16.010511962737215,,,synthetic,
7dmf,A de novo protein that rigidly extends the structure of tVHS-like domain in tepsin with a new designed domain,189,1.0,1e-12,9619.0,0.0001039609106975,-3.9831299247347,1.0396091069757772e-16,-15.9831299247347,,,synthetic,
9lni,Crystal structure of the de novo designed protein ZZ1,212,1.0,1e-12,9337.0,0.0001071007818357,-3.9702073588068543,1.0710078183570739e-16,-15.970207358806856,,,synthetic,
9gvf,Crystal structure of a computationally designed protein,211,1.0,1e-12,8860.0,0.0001128668171557,-3.947433721887051,1.1286681715575622e-16,-15.94743372188705,,,synthetic,
5e6g,Crystal Structure of De Novo Designed Protein CA01,227,1.0,1e-12,8510.0,0.0001175088131609,-3.929929560084588,1.1750881316098707e-16,-15.929929560084588,,,synthetic,
6nyi,Crystal structure of computationally designed protein XXA,286,1.0,1e-12,7967.0,0.0001255177607631,-3.9012948171655673,1.2551776076314798e-16,-15.901294817165567,,,synthetic,
1vjq,Designed protein based on backbone conformation of procarboxypeptidase-A (1AYE) with sidechains chosen for maximal predicted stability.,142,1.0,1e-12,7772.0,0.0001286670097786,-3.890532791927745,1.2866700977869274e-16,-15.890532791927743,,,synthetic,
8ju8,de novo designed protein,139,1.0,1e-12,7604.0,0.0001315097317201,-3.8810421081934057,1.3150973172014728e-16,-15.881042108193403,,,synthetic,
8fbk,Improving the secretion of designed protein assemblies through negative design of cryptic transmembrane domains,218,1.0,1e-12,6974.0,0.000143389733295,-3.843481943039958,1.4338973329509606e-16,-15.843481943039958,,,synthetic,
6nye,Crystal structure of computationally designed protein XAX,283,1.0,1e-12,6895.0,0.0001450326323422,-3.838534270511869,1.45032632342277e-16,-15.838534270511868,,,synthetic,
6kos,"Crystal structure of SUWA (Super WA20), a hyper-stable de novo protein with a dimeric bisecting topology",390,1.0,1e-12,6486.0,0.0001541782300339,-3.811976944336954,1.5417823003391922e-16,-15.811976944336951,,,synthetic,
8xyw,De novo designed protein Trx-3,105,1.0,1e-12,6254.0,0.000159897665494,-3.796157876906914,1.5989766549408375e-16,-15.796157876906914,,,synthetic,
5tpj,Crystal structure of a de novo designed protein with curved beta-sheet,122,1.0,1e-12,6238.0,0.0001603077909586,-3.795045370421125,1.603077909586406e-16,-15.795045370421125,,,synthetic,
5trv,Crystal structure of a de novo designed protein with curved beta-sheet,118,1.0,1e-12,6021.0,0.000166085367879,-3.779668627207148,1.6608536787908984e-16,-15.779668627207148,,,synthetic,
8xyv,De novo designed protein 0705-5,197,1.0,1e-12,5875.0,0.0001702127659574,-3.7690078709437738,1.702127659574468e-16,-15.769007870943774,,,synthetic,
5l33,Crystal structure of a de novo designed protein with curved beta-sheet,106,1.0,1e-12,5799.0,0.0001724435247456,-3.7633531087482153,1.724435247456458e-16,-15.763353108748216,,,synthetic,
9ded,Designed protein n8,114,1.0,1e-12,5282.0,0.0001893222264293,-3.722798396870905,1.893222264293828e-16,-15.722798396870903,,,synthetic,
7dns,Crystal structure of domain-swapped dimer of H5_Fold-0 Elsa; de novo designed protein with an asymmetric all-alpha topology,178,1.0,1e-12,4936.0,0.0002025931928687,-3.6933751510251858,2.025931928687196e-16,-15.693375151025185,,,synthetic,
6nyk,Crystal structure of computationally designed protein XAX_GGDQ,271,1.0,1e-12,4627.0,0.0002161227577263,-3.665299499499897,2.1612275772638856e-16,-15.665299499499897,,,synthetic,
6dlc,"Designed protein DHD1:234_A, Designed protein DHD1:234_B",138,1.0,1e-12,4246.0,0.0002355157795572,-3.62797998982998,2.355157795572303e-16,-15.62797998982998,,,synthetic,
1qys,Crystal structure of Top7: A computationally designed protein with a novel fold,91,1.0,1e-12,4199.0,0.0002381519409383,-3.623145874637939,2.381519409383186e-16,-15.62314587463794,,,synthetic,
7dgy,De novo designed protein H4C2R,99,1.0,1e-12,4153.0,0.0002407897905128,-3.6183619311098782,2.407897905128822e-16,-15.618361931109876,,,synthetic,
7vty,de novo designed protein,90,1.0,1e-12,3777.0,0.0002647603918453,-3.5771469848275252,2.647603918453799e-16,-15.577146984827523,,,synthetic,
7dgu,De novo designed protein H4A1R,97,1.0,1e-12,3608.0,0.0002771618625277,-3.557266528869904,2.771618625277162e-16,-15.557266528869905,,,synthetic,
6jcc,structure of a de novo protein D_1CY5_M1,97,1.0,1e-12,3554.0,0.0002813731007315,-3.550717423469283,2.8137310073157004e-16,-15.550717423469283,,,synthetic,
9s7r,Structure of the de novo protein scaffold MID1sc9_4xE,184,1.0,1e-12,3545.0,0.0002820874471086,-3.5496162395190853,2.8208744710860373e-16,-15.549616239519086,,,synthetic,
6mrs,De novo designed protein Peak6,77,1.0,1e-12,3502.0,0.0002855511136493,-3.5443161417474274,2.8555111364934324e-16,-15.544316141747426,,,synthetic,
7dgw,De novo designed protein H4A2S,94,1.0,1e-12,3334.0,0.0002999400119976,-3.5229655954919865,2.9994001199760047e-16,-15.522965595491987,,,synthetic,
6nxm,Crystal structure of computationally designed protein XAA_GVDQ,274,1.0,1e-12,2835.0,0.000352733686067,-3.452553063228925,3.527336860670194e-16,-15.452553063228926,,,synthetic,
6nz3,Crystal structure of computationally designed protein XAA_GGHN,275,1.0,1e-12,2712.0,0.0003687315634218,-3.433289685195026,3.6873156342182893e-16,-15.433289685195026,,,synthetic,
6ny8,Crystal structure of computationally designed protein XAA_GVDQ with calcium,272,1.0,1e-12,2636.0,0.0003793626707132,-3.420945405921972,3.7936267071320183e-16,-15.420945405921971,,,synthetic,
6nx2,Crystal structure of computationally designed protein AAA,267,1.0,1e-12,2491.0,0.0004014452027298,-3.3963737275365067,4.0144520272982735e-16,-15.396373727536506,,,synthetic,
7ur7,"17_bp_sh3, a small beta-barrel de novo designed protein",63,1.0,1e-12,2380.0,0.0004201680672268,-3.376576957056512,4.2016806722689077e-16,-15.376576957056512,,,synthetic,
7s5b,Unbound State of a De novo designed Protein Binder to the Human Interleukin-7 Receptor,110,1.0,1e-12,2178.0,0.0004591368227731,-3.3380578754197563,4.591368227731865e-16,-15.338057875419755,,,synthetic,
7ur8,"170_h_ob, a small beta-barrel de novo designed protein",71,1.0,1e-12,2025.0,0.0004938271604938,-3.3064250275506875,4.938271604938271e-16,-15.306425027550688,,,synthetic,
6mrr,De novo designed protein Foldit1,68,1.0,1e-12,1314.0,0.0007610350076103,-3.118595365223762,7.610350076103502e-16,-15.11859536522376,,,synthetic,
7tjl,"Crystal structure of de novo designed protein, SEWN0.1",85,1.0,1e-12,1188.0,0.0008417508417508,-3.074816440645175,8.417508417508417e-16,-15.074816440645174,,,synthetic,
4zn8,Using molecular dynamics simulations to predict domain swapping of computationally designed protein variants,188,1.0,1e-12,957.0,0.0010449320794148,-2.9809119377768436,1.044932079414838e-15,-14.980911937776844,,,synthetic,
4dac,Crystal Structure of Computationally Designed Protein P6d,104,1.0,1e-12,5.0,0.2,-0.6989700043360187,2e-13,-12.69897000433602,,,synthetic,
