protein_id,length,B,I,source,eta,log10_eta,B_epsilon,eta_epsilon,log10_eta_epsilon,title,resolution,engineered_hint
6dlc,138,1.0,4246.0,synthetic,0.00023551577955723034,-3.62797998982998,1e-12,2.355157795572303e-16,-15.62797998982998,"Designed protein DHD1:234_A, Designed protein DHD1:234_B",,
9ded,114,1.0,5282.0,synthetic,0.0001893222264293828,-3.722798396870905,1e-12,1.893222264293828e-16,-15.722798396870905,Designed protein n8,,
7dmf,189,1.0,9619.0,synthetic,0.00010396091069757771,-3.9831299247347003,1e-12,1.0396091069757771e-16,-15.9831299247347,A de novo protein that rigidly extends the structure of tVHS-like domain in tepsin with a new designed domain,,
7vty,90,1.0,3777.0,synthetic,0.00026476039184537993,-3.5771469848275252,1e-12,2.647603918453799e-16,-15.577146984827525,de novo designed protein,,
8ju8,139,1.0,7604.0,synthetic,0.0001315097317201473,-3.8810421081934057,1e-12,1.3150973172014728e-16,-15.881042108193405,de novo designed protein,,
3uy8,493,1.0,52216.0,synthetic,1.915121801746591e-05,-4.717803599687921,1e-12,1.915121801746591e-17,-16.71780359968792,Designed protein KE59 R5_11/5F,,
3uyc,487,1.0,49137.0,synthetic,2.0351262795856483e-05,-4.691408637630063,1e-12,2.035126279585648e-17,-16.691408637630065,Designed protein KE59 R8_2/7A,,
6mrr,68,1.0,1314.0,synthetic,0.00076103500761035,-3.118595365223762,1e-12,7.610350076103501e-16,-15.118595365223761,De novo designed protein Foldit1,,
6mrs,77,1.0,3502.0,synthetic,0.00028555111364934324,-3.5443161417474274,1e-12,2.8555111364934324e-16,-15.544316141747426,De novo designed protein Peak6,,
6wi5,180,1.0,12343.0,synthetic,8.101758081503687e-05,-4.091420728992051,1e-12,8.101758081503686e-17,-16.091420728992052,De novo designed protein Foldit4,,
7dgu,97,1.0,3608.0,synthetic,0.0002771618625277162,-3.557266528869904,1e-12,2.771618625277162e-16,-15.557266528869905,De novo designed protein H4A1R,,
7dgw,94,1.0,3334.0,synthetic,0.00029994001199760045,-3.5229655954919865,1e-12,2.9994001199760047e-16,-15.522965595491987,De novo designed protein H4A2S,,
7dgy,99,1.0,4153.0,synthetic,0.00024078979051288225,-3.6183619311098782,1e-12,2.4078979051288226e-16,-15.618361931109877,De novo designed protein H4C2R,,
3uxa,494,1.0,51134.0,synthetic,1.9556459498572378e-05,-4.708709767105175,1e-12,1.9556459498572377e-17,-16.708709767105173,Designed protein KE59 R1 7/10H,,
3uz5,494,1.0,50370.0,synthetic,1.985308715505261e-05,-4.702171950857712,1e-12,1.985308715505261e-17,-16.70217195085771,Designed protein KE59 R13 3/11H,,
6iev,321,1.0,19999.0,synthetic,5.000250012500625e-05,-4.301008280397,1e-12,5.000250012500625e-17,-16.301008280397,Crystal structure of a designed protein,,
6nuk,200,1.0,10245.0,synthetic,9.760858955588091e-05,-4.010511962737214,1e-12,9.760858955588092e-17,-16.010511962737215,De novo designed protein Ferredog-Diesel,,
8xyr,165,1.0,15002.0,synthetic,6.665777896280495e-05,-4.176149161126549,1e-12,6.665777896280495e-17,-16.17614916112655,De novo designed protein GPX4-2,,
8xys,660,1.0,63105.0,synthetic,1.5846604864907693e-05,-4.8000637710726775,1e-12,1.5846604864907692e-17,-16.80006377107268,De novo designed protein GPX4-1,,
8xyt,659,1.0,61541.0,synthetic,1.624932971514925e-05,-4.789164548963006,1e-12,1.624932971514925e-17,-16.789164548963004,De novo designed protein GPX4-4,,
8xyu,169,1.0,15276.0,synthetic,6.546216286986122e-05,-4.18400964970128,1e-12,6.546216286986122e-17,-16.18400964970128,De novo designed protein GPX4-3,,
8xyv,197,1.0,5875.0,synthetic,0.00017021276595744682,-3.7690078709437738,1e-12,1.702127659574468e-16,-15.769007870943774,De novo designed protein 0705-5,,
8xyw,105,1.0,6254.0,synthetic,0.0001598976654940838,-3.796157876906914,1e-12,1.5989766549408377e-16,-15.796157876906914,De novo designed protein Trx-3,,
7skp,146,1.0,11434.0,synthetic,8.745845723281441e-05,-4.058198187878253,1e-12,8.745845723281442e-17,-16.058198187878254,De novo synthetic protein DIG14 (tetragonal space group),,
4dac,104,1.0,5.0,synthetic,0.2,-0.6989700043360187,1e-12,2e-13,-12.698970004336019,Crystal Structure of Computationally Designed Protein P6d,,
4r6f,329,1.0,21939.0,synthetic,4.558092893933178e-05,-4.34121682814391,1e-12,4.558092893933178e-17,-16.34121682814391,Crystal structure of computational designed protein DLRR_I,,
6nx2,267,1.0,2491.0,synthetic,0.0004014452027298274,-3.3963737275365067,1e-12,4.0144520272982735e-16,-15.396373727536506,Crystal structure of computationally designed protein AAA,,
6nxm,274,1.0,2835.0,synthetic,0.0003527336860670194,-3.452553063228925,1e-12,3.527336860670194e-16,-15.452553063228926,Crystal structure of computationally designed protein XAA_GVDQ,,
6nye,283,1.0,6895.0,synthetic,0.000145032632342277,-3.8385342705118686,1e-12,1.45032632342277e-16,-15.838534270511868,Crystal structure of computationally designed protein XAX,,
6nyi,286,1.0,7967.0,synthetic,0.000125517760763148,-3.9012948171655673,1e-12,1.2551776076314798e-16,-15.901294817165567,Crystal structure of computationally designed protein XXA,,
6nyk,271,1.0,4627.0,synthetic,0.0002161227577263886,-3.665299499499897,1e-12,2.1612275772638858e-16,-15.665299499499897,Crystal structure of computationally designed protein XAX_GGDQ,,
6nz1,569,1.0,16906.0,synthetic,5.915059742103395e-05,-4.228040864639632,1e-12,5.915059742103395e-17,-16.22804086463963,Crystal structure of computationally designed protein XXA_GVDQ,,
6nz3,275,1.0,2712.0,synthetic,0.0003687315634218289,-3.433289685195026,1e-12,3.687315634218289e-16,-15.433289685195026,Crystal structure of computationally designed protein XAA_GGHN,,
7bwn,2497,1.0,357018.0,synthetic,2.8009792223361287e-06,-5.55269011276095,1e-12,2.8009792223361288e-18,-17.55269011276095,Crystal Structure of a Designed Protein Heterocatenane,,
7jh5,564,1.0,45213.0,synthetic,2.2117532568066706e-05,-4.655263324557406,1e-12,2.2117532568066706e-17,-16.655263324557406,Co-LOCKR: de novo designed protein switch,,
7vqw,232,1.0,12756.0,synthetic,7.839448102853559e-05,-4.105714510570921,1e-12,7.839448102853559e-17,-16.105714510570923,de novo designed protein based on 1r26,,
9gvf,211,1.0,8860.0,synthetic,0.0001128668171557562,-3.9474337218870508,1e-12,1.1286681715575622e-16,-15.94743372188705,Crystal structure of a computationally designed protein,,
7skn,289,1.0,21034.0,synthetic,4.754207473614148e-05,-4.32292186958309,1e-12,4.7542074736141484e-17,-16.32292186958309,De novo synthetic protein DIG8-CC (tetragonal space group),,
7sko,283,1.0,20659.0,synthetic,4.84050534875841e-05,-4.3151092956447465,1e-12,4.8405053487584105e-17,-16.315109295644746,De novo synthetic protein DIG8-CC (orthogonal space group),,
3uzj,489,1.0,48266.0,synthetic,2.0718518211577508e-05,-4.683641308557471,1e-12,2.0718518211577508e-17,-16.683641308557473,Designed protein KE59 R13 3/11H with benzotriazole,,
5e6g,227,1.0,8510.0,synthetic,0.00011750881316098707,-3.929929560084588,1e-12,1.1750881316098707e-16,-15.929929560084588,Crystal Structure of De Novo Designed Protein CA01,,
7tjl,85,1.0,1188.0,synthetic,0.0008417508417508417,-3.074816440645175,1e-12,8.417508417508417e-16,-15.074816440645174,"Crystal structure of de novo designed protein, SEWN0.1",,
9mxw,310,1.0,20625.0,synthetic,4.848484848484849e-05,-4.314393957221963,1e-12,4.848484848484848e-17,-16.314393957221963,Computationally Designed protein with isopeptide bond dnIPB-1,,
9mxx,149,1.0,11719.0,synthetic,8.53315129277242e-05,-4.068890554257935,1e-12,8.53315129277242e-17,-16.068890554257937,Computationally Designed protein with isopeptide bond dnIPB-2,,
9vvn,167,1.0,11144.0,synthetic,8.973438621679828e-05,-4.047041103415907,1e-12,8.973438621679828e-17,-16.047041103415907,Crystal structure of computationally designed protein VTP-4,,
3uxd,494,1.0,50874.0,synthetic,1.9656406022722804e-05,-4.706495885648506,1e-12,1.9656406022722805e-17,-16.706495885648504,Designed protein KE59 R1 7/10H with dichlorobenzotriazole (DBT),,
3uy7,494,1.0,52119.0,synthetic,1.9186860837698344e-05,-4.716996074372699,1e-12,1.9186860837698343e-17,-16.716996074372698,Designed protein KE59 R1 7/10H with G130S mutation,,
6ny8,272,1.0,2636.0,synthetic,0.00037936267071320183,-3.420945405921972,1e-12,3.7936267071320183e-16,-15.420945405921973,Crystal structure of computationally designed protein XAA_GVDQ with calcium,,
7ur7,63,1.0,2380.0,synthetic,0.0004201680672268908,-3.376576957056512,1e-12,4.2016806722689077e-16,-15.376576957056512,"17_bp_sh3, a small beta-barrel de novo designed protein",,
7ur8,71,1.0,2025.0,synthetic,0.0004938271604938272,-3.3064250275506875,1e-12,4.938271604938271e-16,-15.306425027550688,"170_h_ob, a small beta-barrel de novo designed protein",,
9lni,212,1.0,9337.0,synthetic,0.0001071007818357074,-3.9702073588068547,1e-12,1.0710078183570739e-16,-15.970207358806855,Crystal structure of the de novo designed protein ZZ1,,
9lx4,350,1.0,27536.0,synthetic,3.631609529343405e-05,-4.439900852983485,1e-12,3.631609529343405e-17,-16.439900852983484,Crystal structure of the de novo designed protein ZZ4,,
4jmg,204,1.0,25814.0,synthetic,3.873866893933525e-05,-4.411855305718946,1e-12,3.8738668939335247e-17,-16.411855305718944,Crystal structure of the synthetic protein in complex with pY peptide,,
4jmh,206,1.0,14840.0,synthetic,6.738544474393532e-05,-4.171433900943009,1e-12,6.738544474393531e-17,-16.171433900943008,Crystal structure of synthetic protein in complex with double pY peptide,,
6n4n,765,1.0,89752.0,synthetic,1.1141812995810678e-05,-4.9530441350139895,1e-12,1.1141812995810679e-17,-16.95304413501399,Crystal structure of the designed protein DNCR2/danoprevir/NS3a complex,,
6ywc,994,1.0,102131.0,synthetic,9.79134640804457e-06,-5.009157584256242,1e-12,9.79134640804457e-18,-17.009157584256243,De novo designed protein 4E1H_95 in complex with 101F antibody,,
6ywd,511,1.0,49143.0,synthetic,2.0348778055877744e-05,-4.691461665039397,1e-12,2.0348778055877744e-17,-16.691461665039398,De novo designed protein 4H_01 in complex with Mota antibody,,
7xad,1153,1.0,78334.0,synthetic,1.2765848801286797e-05,-4.893950303659596,1e-12,1.2765848801286797e-17,-16.893950303659597,Crystal strucutre of PD-L1 and DBL2_02 designed protein binder,,
4f34,492,1.0,42490.0,synthetic,2.353494939985879e-05,-4.628286731089514,1e-12,2.353494939985879e-17,-16.628286731089513,"Symfoil-4V synthetic protein with T30E/T72E/T116E mutations, and delta His tag",,
1qys,91,1.0,4199.0,synthetic,0.00023815194093831864,-3.6231458746379395,1e-12,2.381519409383186e-16,-15.62314587463794,Crystal structure of Top7: A computationally designed protein with a novel fold,,
5l33,106,1.0,5799.0,synthetic,0.0001724435247456458,-3.7633531087482153,1e-12,1.724435247456458e-16,-15.763353108748216,Crystal structure of a de novo designed protein with curved beta-sheet,,
5tpj,122,1.0,6238.0,synthetic,0.0001603077909586406,-3.795045370421125,1e-12,1.603077909586406e-16,-15.795045370421125,Crystal structure of a de novo designed protein with curved beta-sheet,,
5trv,118,1.0,6021.0,synthetic,0.00016608536787908985,-3.779668627207148,1e-12,1.6608536787908984e-16,-15.779668627207148,Crystal structure of a de novo designed protein with curved beta-sheet,,
5ts4,400,1.0,19440.0,synthetic,5.1440329218106995e-05,-4.288696260590256,1e-12,5.144032921810699e-17,-16.288696260590257,Crystal structure of a de novo designed protein with curved beta-sheet,,
5u35,246,1.0,13824.0,synthetic,7.233796296296296e-05,-4.140633725134818,1e-12,7.233796296296296e-17,-16.14063372513482,Crystal structure of a de novo designed protein with curved beta-sheet,,
8tn1,441,1.0,16871.0,synthetic,5.927330922885425e-05,-4.227140825423186,1e-12,5.927330922885424e-17,-16.227140825423188,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - apo,,
4zn8,188,1.0,957.0,synthetic,0.0010449320794148381,-2.9809119377768436,1e-12,1.044932079414838e-15,-14.980911937776844,Using molecular dynamics simulations to predict domain swapping of computationally designed protein variants,,
5tph,241,1.0,12970.0,synthetic,7.710100231303006e-05,-4.11293997608408,1e-12,7.710100231303007e-17,-16.11293997608408,Crystal structure of a de novo designed protein homodimer with curved beta-sheet,,
6c9k,4923,1.0,346930.0,synthetic,2.8824258495950192e-06,-5.54024185611511,1e-12,2.8824258495950192e-18,-17.54024185611511,Single-Particle reconstruction of DARP14 - A designed protein scaffold displaying ~17kDa DARPin proteins,,
6iwb,563,1.0,24529.0,synthetic,4.076807044722573e-05,-4.389679843219249,1e-12,4.076807044722573e-17,-16.38967984321925,Crystal structure of a computationally designed protein (LD3) in complex with BCL-2,,
8tn6,441,1.0,15947.0,synthetic,6.270771932024833e-05,-4.2026789942277265,1e-12,6.270771932024832e-17,-16.20267899422773,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - holo rucaparib,,
8tnb,441,1.0,15875.0,synthetic,6.299212598425197e-05,-4.2007137339640135,1e-12,6.299212598425197e-17,-16.20071373396401,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - holo mefuparib,,
8tnc,441,1.0,16800.0,synthetic,5.9523809523809524e-05,-4.225309281725863,1e-12,5.952380952380952e-17,-16.225309281725863,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - holo niraparib,,
8tnd,441,1.0,15870.0,synthetic,6.30119722747322e-05,-4.200576926754848,1e-12,6.301197227473219e-17,-16.20057692675485,De novo designed protein binds poly ADP ribose polymerase inhibitors (PARPi) - holo veliparib,,
6c9i,3087,1.0,250038.0,synthetic,3.999392092401955e-06,-5.398006016416826,1e-12,3.9993920924019546e-18,-17.398006016416826,Single-Particle reconstruction of DARP14 - A designed protein scaffold displaying ~17kDa DARPin proteins - Scaffold,,
8fbj,307,1.0,11524.0,synthetic,8.677542519958348e-05,-4.061603249608376,1e-12,8.677542519958347e-17,-16.061603249608375,Improving the secretion of designed protein assemblies through negative design of cryptic transmembrane domains,,
8fbk,218,1.0,6974.0,synthetic,0.00014338973329509606,-3.843481943039958,1e-12,1.4338973329509606e-16,-15.843481943039958,Improving the secretion of designed protein assemblies through negative design of cryptic transmembrane domains,,
8fbn,1349,1.0,57241.0,synthetic,1.7469995283101274e-05,-4.757707212276563,1e-12,1.7469995283101272e-17,-16.757707212276564,Improving the secretion of designed protein assemblies through negative design of cryptic transmembrane domains,,
8fbo,762,1.0,29450.0,synthetic,3.395585738539898e-05,-4.469085299123121,1e-12,3.395585738539898e-17,-16.46908529912312,Improving the secretion of designed protein assemblies through negative design of cryptic transmembrane domains,,
7s5b,110,1.0,2178.0,synthetic,0.0004591368227731864,-3.3380578754197563,1e-12,4.591368227731864e-16,-15.338057875419755,Unbound State of a De novo designed Protein Binder to the Human Interleukin-7 Receptor,,
8yl4,405,1.0,36752.0,synthetic,2.7209403569873747e-05,-4.565280977850951,1e-12,2.720940356987375e-17,-16.56528097785095,Crystal structure of the de novo designed protein 200 AA in the crystal form 1,,
8yl8,820,1.0,69396.0,synthetic,1.4410052452590927e-05,-4.841334438351219,1e-12,1.4410052452590926e-17,-16.84133443835122,Crystal structure of the de novo designed protein 200 AA in the crystal form 2,,
1vjq,142,1.0,7772.0,synthetic,0.00012866700977869275,-3.890532791927745,1e-12,1.2866700977869274e-16,-15.890532791927745,Designed protein based on backbone conformation of procarboxypeptidase-A (1AYE) with sidechains chosen for maximal predicted stability.,,
7dns,178,1.0,4936.0,synthetic,0.0002025931928687196,-3.6933751510251853,1e-12,2.025931928687196e-16,-15.693375151025185,Crystal structure of domain-swapped dimer of H5_Fold-0 Elsa; de novo designed protein with an asymmetric all-alpha topology,,
