species_key,B,budget_proxy_name,intron_over_cds_prior,domain,notes
dicdi,,intron_over_cds_prior,3.5,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
drame,,intron_over_cds_prior,17.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
drome,,intron_over_cds_prior,24.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
ecoli,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
haein,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
helpy,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
human,,intron_over_cds_prior,32.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
kleph,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
leiin,,intron_over_cds_prior,5.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
maize,,intron_over_cds_prior,18.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
metja,,intron_over_cds_prior,0.0,archaea,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
mouse,,intron_over_cds_prior,30.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
mycle,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
myctu,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
neig1,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
oncvo,,intron_over_cds_prior,17.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
orysj,,intron_over_cds_prior,18.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
parba,,intron_over_cds_prior,1.5,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
plaf7,,intron_over_cds_prior,6.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
pseae,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
rat,,intron_over_cds_prior,30.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
salty,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
schma,,intron_over_cds_prior,17.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
schpo,,intron_over_cds_prior,0.9,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
shids,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
soybn,,intron_over_cds_prior,18.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
spos1,,intron_over_cds_prior,1.5,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
staa8,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
strer,,intron_over_cds_prior,17.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
strr6,,intron_over_cds_prior,0.0,bacteria,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
tritr,,intron_over_cds_prior,17.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
tryb2,,intron_over_cds_prior,5.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
trycc,,intron_over_cds_prior,5.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
wucba,,intron_over_cds_prior,17.0,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
yeast,,intron_over_cds_prior,0.05,eukaryota,"Species-level B in the full V7 pipeline is computed per protein as B ≈ intron_over_cds_prior[species] * (3 * L_aa). This release table does not collapse that to a single scalar B without additional assumptions, so B is NA."
