protein_id,length,B,I,eta,log10_eta,source
6c9i,3087,1.0,250038.0,3.999392092401955e-06,-5.398006016416826,synthetic
8fbj,307,1.0,11524.0,8.677542519958348e-05,-4.061603249608376,synthetic
8fbk,218,1.0,6974.0,0.000143389733295,-3.843481943039958,synthetic
8fbn,1349,1.0,57241.0,1.7469995283101274e-05,-4.757707212276563,synthetic
8fbo,762,1.0,29450.0,3.395585738539898e-05,-4.469085299123121,synthetic
7s5b,110,1.0,2178.0,0.0004591368227731,-3.3380578754197563,synthetic
8yl4,405,1.0,36752.0,2.7209403569873747e-05,-4.565280977850951,synthetic
8yl8,820,1.0,69396.0,1.4410052452590929e-05,-4.841334438351219,synthetic
1vjq,142,1.0,7772.0,0.0001286670097786,-3.890532791927745,synthetic
7dns,178,1.0,4936.0,0.0002025931928687,-3.6933751510251858,synthetic
